Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G32 8LA,55.843674,-4.175822,263858,663303,NS638633,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,61,27,,,Braidfauld - 03,Large urban area,
G32 8LB,55.842997,-4.176535,263811,663229,NS638632,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,20,11,,,Braidfauld - 03,Large urban area,
G32 8LD,55.842682,-4.176038,263841,663193,NS638631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,110,49,,,Braidfauld - 04,Large urban area,
G32 8LE,55.842159,-4.175114,263897,663133,NS638631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,38,18,,,Braidfauld - 04,Large urban area,
G32 8LF,55.843075,-4.171603,264120,663228,NS641632,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1998,,,,83,13,,,Braidfauld - 03,Large urban area,
G32 8LG,55.842007,-4.17354,263995,663113,NS639631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,33,24,,,Braidfauld - 03,Large urban area,
G32 8LH,55.841974,-4.174401,263941,663111,NS639631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/04/1981,,,,55,48,,,Braidfauld - 03,Large urban area,
G32 8LJ,55.841023,-4.171744,264104,663000,NS641630,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/07/1989,,,,0,0,,,Braidfauld - 03,Large urban area,
G32 8LL,55.841363,-4.173872,263972,663042,NS639630,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/1986,,,,8,4,,,Braidfauld - 03,Large urban area,
G32 8LN,55.840002,-4.172582,264048,662888,NS640628,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/1986,,,,48,20,,,Shettleston South - 03,Large urban area,
G32 8LP,55.838643,-4.17166,264101,662735,NS641627,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,49,24,,,Shettleston South - 03,Large urban area,
